t,date,cases_new,cases_recovered,cases_active,daily_vaccinated,FIXED,new_exposed_over,new_exposed_under,new_exposed,E(t)= NewCt+1 / delta,delta E(t),S,S/N,S/N * I,beta1,beta2,gamma1,gamma2,x1,match_check,x3,x4,vax_daily_p,vax_daily_f,vax_daily_bo,vax_daily_total,new_cases_unvax,new_cases_pvax,new_cases_fvax,new_cases_boost,new_cases_total,new_exposed_over_p,new_exposed_under_p,new_exposed_p,new_exposed_over_f,new_exposed_under_f,new_exposed_f,e_p,e_f,,ve_p,ve_f,vax_p_cum,vax_f_cum,ncass_vax_p_cum,ncass_vax_f_cum
1,1/1/2021,2068,2230,23380,0,,2819.166667,2123.5,2471.333333,13770,2295,32474174.83,0.996140332,23289.76097,0.106112439,0.636674632,0.142044482,0.132720274,,1,-1035,-1026,0,0,0,0,2068,0,0,0,2068,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
2,1/2/2021,2295,3321,22345,0,,2901,2191.166667,2546.083333,10224,1704,32471703.5,0.996064525,22257.0618,0.114394405,0.686366428,0.121995972,0.148802864,,1,-1030,-1022,0,0,0,0,2295,0,0,0,2295,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
3,1/3/2021,1704,2726,21315,0,32600000,3114.666667,2131,2622.833333,10446,1741,32469157.42,0.995986424,21229.45062,0.123546924,0.741281547,0.047384471,0.046117757,,1,721,731,0,0,0,0,1704,0,0,0,1704,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
4,1/4/2021,1741,1010,22036,0,,3180,2178,2679,12162,2027,32466534.58,0.995905969,21945.78393,0.122073561,0.732441368,0.05540933,0.042884371,,1,796,806,0,0,0,0,1741,0,0,0,1741,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
5,1/5/2021,2027,1221,22832,0,,3231.666667,2235,2733.333333,15558,2593,32463855.58,0.995823791,22736.64879,0.120217071,0.721302429,0.049448143,0.025402943,,1,1447,1464,0,0,0,0,2027,0,0,0,2027,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
6,1/6/2021,2593,1129,24279,0,,3326.333333,2382.666667,2854.5,18162,3027,32461122.25,0.995739946,24175.57016,0.118073741,0.708442444,0.088347955,0.070719552,,1,876,882,0,0,0,0,2593,0,0,0,2593,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
7,1/7/2021,3027,2145,25155,0,,3589.333333,2512.333333,3050.833333,15858,2643,32458267.75,0.995652385,25045.63574,0.121810976,0.730865856,0.107652554,0.123394951,,1,-77,-65,0,0,0,0,3027,0,0,0,3027,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
8,1/8/2021,2643,2708,25078,0,,3740.333333,2811.833333,3276.083333,14706,2451,32455216.92,0.995558801,24966.62361,0.131218517,0.787311104,0.055865699,0.063840817,,1,1042,1050,0,0,0,0,2643,0,0,0,2643,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
9,1/9/2021,2451,1401,26120,0,,3919.333333,2816.833333,3368.083333,14598,2433,32451940.83,0.995458308,26001.371,0.129534836,0.777209017,0.04888974,0.050038285,,1,1144,1156,0,0,0,0,2451,0,0,0,2451,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
10,1/10/2021,2433,1277,27264,0,,3973,2870.333333,3421.666667,13392,2232,32448572.75,0.995354992,27137.35851,0.126086946,0.756521678,0.036898474,0.044380869,,1,1223,1226,0,0,0,0,2433,0,0,0,2433,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
11,1/11/2021,2232,1006,28487,0,,4143.5,2919.333333,3531.416667,19854,3309,32445151.08,0.995250033,28351.6877,0.124557547,0.747345281,0.051567382,0.0141117,,1,1830,1840,0,0,0,0,2232,0,0,0,2232,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
12,1/12/2021,3309,1469,30317,0,,4115.666667,3052.166667,3583.916667,17910,2985,32441619.67,0.995141708,30169.71115,0.118791879,0.712751272,0.032786885,0.043770822,,1,1982,1991,0,0,0,0,3309,0,0,0,3309,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
13,1/13/2021,2985,994,32299,0,,4185.666667,2909,3547.333333,20022,3337,32438035.75,0.995031771,32138.53119,0.110376337,0.662258019,0.052942816,0.042447135,,1,1614,1627,0,0,0,0,2985,0,0,0,2985,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
14,1/14/2021,3337,1710,33913,0,,4226.666667,2957.666667,3592.166667,19266,3211,32434488.42,0.994922958,33740.82226,0.106463519,0.638781113,0.057175714,0.061303925,,1,1258,1272,0,0,0,0,3337,0,0,0,3337,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
15,1/15/2021,3211,1939,35171,0,,4227.833333,3119.166667,3673.5,24174,4029,32430896.25,0.994812768,34988.55988,0.10499146,0.629948763,0.061073043,0.038241733,,1,1866,1881,0,0,0,0,3211,0,0,0,3211,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
16,1/16/2021,4029,2148,37037,0,,4184.833333,3071.666667,3628.25,20034,3339,32427222.75,0.994700084,36840.70702,0.098484809,0.590908855,0.072252072,0.091179091,,1,652,663,0,0,0,0,4029,0,0,0,4029,0.166666667,0,0.083333333,0,0,0,0,0,,100,100,0,0,0,0
17,1/17/2021,3339,2676,37689,0,,4177.166667,2911.666667,3544.416667,19836,3306,32423594.5,0.994588788,37485.05684,0.094555457,0.56733274,0.060840033,0.062140147,,1,997,1013,0,0,0,0,3339,0,0,0,3339,0.166666667,0.166666667,0.166666667,0,0,0,0,0,,100,100,0,0,0,0
18,1/18/2021,3306,2293,38686,0,,4122.5,2980.833333,3551.666667,21786,3631,32420050.08,0.994480064,38472.45575,0.092317129,0.553902775,0.076099881,0.067957401,,1,677,687,0,0,0,0,3306,0,0,0,3306,0.166666667,0.166666667,0.166666667,0,0,0,0,0,,100,100,0,0,0,0
19,1/19/2021,3631,2944,39363,0,,4276.5,2989,3632.75,24048,4008,32416498.42,0.994371117,39141.43028,0.092810865,0.55686519,0.060310444,0.051241013,,1,1614,1634,0,0,0,0,3631,0,0,0,3631,0.166666667,0.166666667,0.166666667,0,0,0,0,0,,100,100,0,0,0,0
20,1/20/2021,4008,2374,40977,0,,4625.5,2958.833333,3792.166667,19020,3170,32412865.67,0.994259683,40741.77903,0.093078082,0.558468495,0.060765795,0.081582351,,1,665,680,0,0,0,0,4008,0,0,0,4008,0.166666667,0.166666667,0.166666667,0,0,0,0,0,,100,100,0,0,0,0
21,1/21/2021,3170,2490,41642,0,,4867.666667,3355.333333,4111.5,21786,3631,32409073.5,0.994143359,41398.11775,0.09931611,0.595896658,0.061332309,0.050645982,,1,1061,1077,0,0,0,0,3170,0,0,0,3170,0.166666667,0.166666667,0.166666667,0,0,0,0,0,,100,100,0,0,0,0
22,1/22/2021,3631,2554,42703,0,,5193,3802,4497.5,25650,4275,32404962,0.994017239,42447.51817,0.105954369,0.635726214,0.10099993,0.086270285,,1,-53,-38,0,0,0,0,3631,0,0,0,3631,0.166666667,0,0.083333333,0,0,0,0,0,,100,100,0,0,0,0
23,1/23/2021,4275,4313,42650,0,,5387.333333,4087.5,4737.416667,20076,3346,32400464.5,0.993879279,42388.95126,0.111760648,0.670563889,0.103798359,0.125838218,,1,-1092,-1081,0,0,0,0,4275,0,0,0,4275,0,0,0,0,0,0,0,0,,100,100,0,0,0,0
